BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1004;District de la Sarine;10;2;21775;564515;583315;170436;188921;573600;179600;521;1528;705;683;2564515;2583315;1170436;1188921;2573600;1179600
1005;Bezirk See / District du Lac;10;2;14483;569683;584560;187359;206220;577500;196700;422;671;518;524;2569683;2584560;1187359;1206220;2577500;1196700
1006;Bezirk Sense;10;2;26526;577550;595531;164948;194781;586600;181500;482;2238;880;757;2577550;2595531;1164948;1194781;2586600;1181500
1007;District de la Veveyse;10;2;13430;551832;567182;147221;164037;560200;155700;631;2013;1008;889;2551832;2567182;1147221;1164037;2560200;1155700
1101;Bezirk Gäu;11;2;6205;618619;630403;233968;243380;625200;238200;399;1033;502;452;2618619;2630403;1233968;1243380;2625200;1238200
1102;Bezirk Thal;11;2;13939;598301;626451;232424;246879;614000;240200;471;1330;810;796;2598301;2626451;1232424;1246879;2614000;1240200
1103;Bezirk Bucheggberg;11;2;6268;594769;606912;213703;228182;601600;220000;425;672;531;533;2594769;2606912;1213703;1228182;2601600;1220000
1104;Bezirk Dorneck;11;2;7470;598658;620450;250941;261330;616100;255600;281;897;561;571;2598658;2620450;1250941;1261330;2616100;1255600
1105;Bezirk Gösgen;11;2;6867;629837;644453;244707;257027;637800;249000;363;991;582;561;2629837;2644453;1244707;1257027;2637800;1249000
1106;Bezirk Wasseramt;11;2;7667;605427;619880;221852;231006;612200;226200;419;596;463;459;2605427;2619880;1221852;1231006;2612200;1226200
1107;Bezirk Lebern;11;2;11717;592561;613794;223174;236171;602600;230200;417;1445;706;579;2592561;2613794;1223174;1236171;2602600;1230200
1108;Bezirk Olten;11;2;8057;626820;644760;235132;249321;634800;243100;363;1122;502;447;2626820;2644760;1235132;1249321;2634800;1243100
1109;Bezirk Solothurn;11;2;628;605355;608612;227225;229927;606900;228600;424;500;439;433;2605355;2608612;1227225;1229927;2606900;1228600
1110;Bezirk Thierstein;11;2;10227;595270;615546;242062;255060;607700;248700;326;1205;653;637;2595270;2615546;1242062;1255060;2607700;1248700
1200;Kanton Basel-Stadt;12;3;3695;608733;619191;263185;272279;613200;268200;244;522;294;273;2608733;2619191;1263185;1272279;2613200;1268200
1301;Bezirk Arlesheim;13;3;9622;604463;617809;254898;268191;611100;262000;245;765;350;331;2604463;2617809;1254898;1268191;2611100;1262000
1302;Bezirk Laufen;13;3;8956;591443;614134;247622;257755;604000;252900;293;865;503;486;2591443;2614134;1247622;1257755;2604000;1252900
1303;Bezirk Liestal;13;3;8586;617092;626687;251339;265471;621800;259000;254;757;424;426;2617092;2626687;1251339;1265471;2621800;1259000
1304;Bezirk Sissach;13;3;14104;625363;639481;247112;265027;632100;256000;334;1001;562;564;2625363;2639481;1247112;1265027;2632100;1256000
1305;Bezirk Waldenburg;13;3;10499;614650;630616;243060;254962;623300;248900;389;1168;699;680;2614650;2630616;1243060;1254962;2623300;1248900
1401;Bezirk Oberklettgau;14;5;3188;676908;684642;279043;288362;680900;283200;393;869;514;482;2676908;2684642;1279043;1288362;2680900;1283200
